tenant_code,process_code,process_name,business_section,module,owner_schema,owner_table,enabled
SJG,P001,统一登录与多岗位身份切换,平台公共能力,全员公共能力,iam,login_session,true
SJG,P002,权限申请、复核与回收,平台公共能力,全员公共能力,iam,permission_request,true
SJG,P003,个人资料变更,平台公共能力,全员公共能力,hr,employee_profile_change,true
SJG,P004,通用申请与审批,平台公共能力,全员公共能力,workflow,generic_request,true
SJG,P005,制度、通知与执行回执,平台公共能力,全员公共能力,collaboration,notice,true
SJG,P006,会议与行动项,平台公共能力,全员公共能力,collaboration,meeting,true
SJG,P007,排班与班次调整,平台公共能力,全员公共能力,attendance,shift_change_request,true
SJG,P008,请假与考勤,平台公共能力,全员公共能力,attendance,leave_request,true
SJG,P009,加班与调休,平台公共能力,全员公共能力,attendance,overtime_request,true
SJG,P010,员工学习、考试与资格,平台公共能力,全员公共能力,learning,learning_assignment,true
SJG,P011,绩效管理,平台公共能力,全员公共能力,performance,performance_cycle,true
SJG,P012,晋升与任职发展,平台公共能力,全员公共能力,hr,promotion_request,true
SJG,P013,奖励,平台公共能力,全员公共能力,reward,reward_case,true
SJG,P014,纪律、责任与申诉,平台公共能力,全员公共能力,reward,discipline_case,true
SJG,P015,成长积分与荣誉积分,平台公共能力,全员公共能力,reward,point_transaction,true
SJG,P016,员工福利与关怀,平台公共能力,全员公共能力,welfare,care_case,true
SJG,P017,电子签署,平台公共能力,全员公共能力,document,signature_envelope,true
SJG,P018,数据导入,平台公共能力,全员公共能力,integration,data_import_job,true
SJG,P019,敏感导出与文件下载,平台公共能力,全员公共能力,audit,data_export_request,true
SJG,P020,数据质量与修复,平台公共能力,全员公共能力,audit,data_quality_issue,true
SJG,P021,经营会议闭环,总裁办,总裁办经营管理模块,collaboration,meeting,true
SJG,P022,总裁指令闭环,总裁办,总裁办经营管理模块,collaboration,executive_directive,true
SJG,P023,重大事项升级,总裁办,总裁办经营管理模块,collaboration,major_matter,true
SJG,P024,预算闭环,财人中心,财务部业务模块,finance,budget_request,true
SJG,P025,报销闭环,财人中心,财务部业务模块,finance,expense_claim,true
SJG,P026,借款核销,财人中心,财务部业务模块,finance,loan_request,true
SJG,P027,跨系统对账,财人中心,财务部业务模块,finance,reconciliation_task,true
SJG,P028,录用入职闭环,财人中心,人力资源部业务模块,hr,employee_onboarding,true
SJG,P029,调岗闭环,财人中心,人力资源部业务模块,hr,employee_transfer,true
SJG,P030,离职闭环,财人中心,人力资源部业务模块,hr,employee_offboarding,true
SJG,P031,归档接收,财人中心,档案管理部业务模块,archive,archive_package,true
SJG,P032,借阅归还,财人中心,档案管理部业务模块,archive,borrow_request,true
SJG,P033,销毁鉴定,财人中心,档案管理部业务模块,archive,disposal_appraisal,true
SJG,P034,标准采购,财人中心,采购部业务模块,procurement,purchase_request,true
SJG,P035,紧急采购,财人中心,采购部业务模块,procurement,emergency_purchase,true
SJG,P036,退换货,财人中心,采购部业务模块,procurement,purchase_return,true
SJG,P037,售检票闭环,财人中心,票务服务部业务模块,ticketing,ticket_order,true
SJG,P038,退款改签,财人中心,票务服务部业务模块,ticketing,ticket_refund_change,true
SJG,P039,离线检票,财人中心,票务服务部业务模块,ticketing,offline_check_event,true
SJG,P040,商机推进,市场中心,市场部业务模块,crm,opportunity,true
SJG,P041,市场活动,市场中心,市场部业务模块,marketing,campaign,true
SJG,P042,渠道准入,市场中心,市场部业务模块,crm,channel_partner,true
SJG,P043,课程产品上线,市场中心,教育部业务模块,education,course_product,true
SJG,P044,研学团队交付,市场中心,教育部业务模块,education,study_tour_delivery,true
SJG,P045,讲师排课,市场中心,教育部业务模块,education,teacher_schedule,true
SJG,P046,通知执行,行政中心,办公室综合行政模块,collaboration,notice,true
SJG,P047,正式公文,行政中心,办公室综合行政模块,administration,official_document,true
SJG,P048,会议行动,行政中心,办公室综合行政模块,collaboration,meeting,true
SJG,P049,大型活动,行政中心,办公室综合行政模块,administration,large_event,true
SJG,P050,入库,行政中心,资产部业务模块,asset,stock_in,true
SJG,P051,领借调还,行政中心,资产部业务模块,asset,asset_use_transaction,true
SJG,P052,盘点,行政中心,资产部业务模块,asset,stocktake,true
SJG,P053,报废处置,行政中心,资产部业务模块,asset,asset_disposal,true
SJG,P054,派车,行政中心,后勤部业务模块,fleet,vehicle_dispatch,true
SJG,P055,车辆事故,行政中心,后勤部业务模块,fleet,vehicle_incident,true
SJG,P056,宿舍入住退宿,行政中心,后勤部业务模块,dormitory,stay_record,true
SJG,P057,报修,行政中心,后勤部业务模块,maintenance,repair_order,true
SJG,P058,团餐交付,行政中心,餐饮部业务模块,catering,group_meal_order,true
SJG,P059,食材验收,行政中心,餐饮部业务模块,catering,ingredient_acceptance,true
SJG,P060,食品安全事件,行政中心,餐饮部业务模块,catering,food_safety_incident,true
SJG,P061,餐卡结算,行政中心,餐饮部业务模块,catering,meal_card_settlement,true
SJG,P062,日常巡逻,物业中心,安保部业务模块,security,patrol_task,true
SJG,P063,客流预警,物业中心,安保部业务模块,security,crowd_alert,true
SJG,P064,安全事件,物业中心,安保部业务模块,security,security_incident,true
SJG,P065,活动安保,物业中心,安保部业务模块,security,event_security_plan,true
SJG,P066,日常清洁,物业中心,环卫部业务模块,cleaning,cleaning_task,true
SJG,P067,污染应急,物业中心,环卫部业务模块,cleaning,pollution_incident,true
SJG,P068,活动保障,物业中心,环卫部业务模块,cleaning,event_support,true
SJG,P069,商户准入,物业中心,商管部业务模块,merchant,merchant_admission,true
SJG,P070,日常巡检,物业中心,商管部业务模块,merchant,merchant_inspection,true
SJG,P071,退场,物业中心,商管部业务模块,merchant,merchant_exit,true
SJG,P072,节目上线,演艺中心,表演部业务模块,entertainment,program,true
SJG,P073,场次执行,演艺中心,表演部业务模块,entertainment,show_session,true
SJG,P074,临时缺员,演艺中心,表演部业务模块,entertainment,staff_shortage,true
SJG,P075,停演,演艺中心,表演部业务模块,entertainment,suspension_decision,true
SJG,P076,场次准备,演艺中心,服化道业务模块,costume,session_preparation,true
SJG,P077,损坏报损,演艺中心,服化道业务模块,costume,damage_report,true
SJG,P078,盘点,演艺中心,服化道业务模块,costume,inventory_check,true
SJG,P079,飞行任务,演艺中心,无人机飞行部业务模块,drone,flight_task,true
SJG,P080,任务取消,演艺中心,无人机飞行部业务模块,drone,flight_cancellation,true
SJG,P081,飞行事故,演艺中心,无人机飞行部业务模块,drone,flight_incident,true
SJG,P082,场次技术保障,演艺中心,演艺技术部业务模块,entertainment,tech_support_task,true
SJG,P083,设备故障,演艺中心,演艺技术部业务模块,entertainment,equipment_fault,true
SJG,P084,停演技术建议,演艺中心,演艺技术部业务模块,entertainment,suspension_advice,true
SJG,P085,网络故障,网络中心,网络技术部业务模块,itops,network_incident,true
SJG,P086,网络变更,网络中心,网络技术部业务模块,itops,network_change,true
SJG,P087,活动保障,网络中心,网络技术部业务模块,itops,event_support,true
SJG,P088,IT服务请求,网络中心,系统维护部业务模块,itops,service_request,true
SJG,P089,生产发布,网络中心,系统维护部业务模块,devops,release,true
SJG,P090,账号执行,网络中心,系统维护部业务模块,iam,account_execution,true
SJG,P091,恢复演练,网络中心,系统维护部业务模块,itops,recovery_drill,true
SJG,P092,需求开发,网络中心,研发部业务模块,devops,requirement,true
SJG,P093,缺陷修复,网络中心,研发部业务模块,devops,defect,true
SJG,P094,版本发布,网络中心,研发部业务模块,devops,release,true
SJG,P095,宣传物料制作,企划中心,企宣部业务模块,content,material_request,true
SJG,P096,拍摄任务,企划中心,企宣部业务模块,content,shooting_task,true
SJG,P097,返工变更,企划中心,企宣部业务模块,content,change_request,true
SJG,P098,策划项目,企划中心,策划部业务模块,planning,project,true
SJG,P099,方案变更,企划中心,策划部业务模块,planning,change_request,true
SJG,P100,活动策划移交,企划中心,策划部业务模块,planning,event_handover,true
SJG,P101,产品上架,新媒体中心,OTA部业务模块,ecommerce,product_listing,true
SJG,P102,OTA订单,新媒体中心,OTA部业务模块,ecommerce,ota_order,true
SJG,P103,退款,新媒体中心,OTA部业务模块,ecommerce,refund_order,true
SJG,P104,评价客诉,新媒体中心,OTA部业务模块,ecommerce,review_complaint,true
SJG,P105,短视频发布,新媒体中心,抖音部业务模块,media,short_video_release,true
SJG,P106,直播执行,新媒体中心,抖音部业务模块,media,live_session,true
SJG,P107,投放,新媒体中心,抖音部业务模块,media,ad_campaign,true
SJG,P108,舆情,新媒体中心,抖音部业务模块,media,public_opinion_case,true
SJG,P109,品牌授权,新媒体中心,品牌部业务模块,brand,authorization,true
SJG,P110,物料审核,新媒体中心,品牌部业务模块,brand,material_review,true
SJG,P111,侵权处理,新媒体中心,品牌部业务模块,brand,infringement_case,true
SJG,P112,标准接待,运营中心,接待部业务模块,reception,reception_order,true
SJG,P113,临时变更,运营中心,接待部业务模块,reception,change_request,true
SJG,P114,导游执行,运营中心,接待部业务模块,reception,guide_execution,true
SJG,P115,接待客诉,运营中心,接待部业务模块,reception,complaint,true
SJG,P116,线索转商机,运营中心,营销部业务模块,sales,lead,true
SJG,P117,销售成交,运营中心,营销部业务模块,sales,deal,true
SJG,P118,二次销售,运营中心,营销部业务模块,sales,secondary_sale,true
SJG,P119,客户移交,运营中心,营销部业务模块,sales,customer_handover,true
SJG,P120,全员生命周期闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
SJG,P121,市场获客到交付回款闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
SJG,P122,接待资源闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
SJG,P123,演艺场次闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
SJG,P124,采购资产财务闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
SJG,P125,内容生产发布闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
SJG,P126,事件与整改闭环,跨中心协同,黄金路径,workflow,wf_orchestration_instance,true
